Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
021_ZW Parque Alfonso Barberena.csv,SVR,0.153,0.17,15.302,16.987,1036086.818,1193229.257,1474833.72,1612796.655,0.728,0.675
022_ZW Polideportivo Los Farallones.csv,SVR,22.255,13.321,2225.508,1332.132,1379258.397,1519612.8,2153947.469,2453225.679,0.265,0.047
023_ZW Parque Los Guerreros.csv,SVR,0.659,0.35,65.855,35.019,2321022.972,1064682.763,3011621.235,1398895.967,-1.011,0.566
024_ZW Museo La Tertulia.csv,SVR,0.881,0.886,88.088,88.63,584194.688,455757.961,858026.097,741321.398,0.266,0.452
025_ZW Parque San Marino.csv,SVR,1.425,0.72,142.517,71.995,5260202.08,4185203.614,8002090.597,6932866.876,-0.198,0.101
026_ZW Parque La Flora.csv,SVR,0.208,0.206,20.762,20.639,1284518.429,1197419.698,1936584.181,1627139.87,0.53,0.668
027_ZW Parque Alfonso Bonilla Aragón.csv,SVR,0.3,0.198,29.998,19.822,594848.596,629120.878,886989.23,913652.926,0.871,0.863
028_ZW Parque Yo Amo a Siloé.csv,SVR,0.179,0.183,17.884,18.284,3997405.433,3962636.926,4871882.625,4814450.641,0.135,0.155
029_ZW Centro Cultural Vista Hermosa.csv,SVR,6495.245,6495.245,649524.476,649524.476,2653034.583,2653034.583,3609298.105,3609298.105,-0.802,-0.802
030_ZW Parque Mutis.csv,SVR,0.205,0.202,20.483,20.183,1397416.576,1428703.52,1923318.56,1941830.429,0.742,0.737
031_ZW Cancha Los Azules.csv,SVR,0.332,0.218,33.167,21.836,2965032.578,2766947.045,3674184.01,3633956.041,0.59,0.599
032_ZW Parque La Orqueta.csv,SVR,1.088,0.346,108.829,34.644,8986107.712,4020333.194,10499427.719,5135519.059,-2.41,0.184
034_ZW Parque Villa Colombia.csv,SVR,0.452,0.482,45.162,48.235,1686353.285,1452536.999,2279153.638,1946838.716,-0.231,0.102
035_ZW Parque Colseguros.csv,SVR,0.165,0.189,16.503,18.893,1165837.011,1375803.756,1518535.388,1734697.267,0.613,0.495
036_ZW Parque India Elena.csv,SVR,0.204,0.202,20.432,20.22,1729176.568,1689854.576,2262262.851,1996807.792,0.631,0.713
037_ZW Parque Tequendama.csv,SVR,0.37,0.319,37.033,31.892,2630926.576,2340575.927,3092768.889,2806947.434,0.048,0.216
038_ZW Parque Sector Amarillo Skate Park.csv,SVR,0.487,0.434,48.67,43.382,1528131.548,1486133.909,2206994.948,2010090.332,0.263,0.389
039_ZW Biblioteca Daniel Guillard.csv,SVR,0.175,0.17,17.548,16.98,1576934.095,1433168.558,2401068.535,2112188.212,0.629,0.713
040_ZW Polideportivo Torres Comfandi.csv,SVR,0.623,0.53,62.322,53.043,3838631.977,3347107.41,4987990.15,4654208.001,-0.77,-0.541
041_ZW Parque Junin.csv,SVR,0.223,0.214,22.283,21.413,1751115.463,1684669.874,2544019.283,2154129.322,0.498,0.64
042_ZW Parque Mariano Ramos.csv,SVR,0.191,0.178,19.077,17.827,1067541.307,978933.105,1431881.531,1259392.813,0.517,0.626
043_ZW Polideportivo Ricardo Balcazar.csv,SVR,0.175,0.18,17.54,18.04,1602619.241,1704337.734,2135985.126,2313388.664,0.494,0.407
044_ZW Polideportivo San Benito.csv,SVR,0.328,0.303,32.834,30.272,3098926.914,2556670.729,5224390.209,3944654.042,0.396,0.656
045_ZW Parque Santa Anita.csv,SVR,0.531,0.272,53.086,27.223,1915312.793,783234.797,2390316.8,1061270.318,-1.536,0.5
046_ZW Sebastian Belalcazar.csv,SVR,0.973,0.953,97.287,95.278,1964291.55,1502725.756,2490244.266,2017479.141,-1.552,-0.675
047_ZW Parque del Mico.csv,SVR,0.233,0.245,23.344,24.469,1080664.487,1070322.465,1327607.806,1286433.19,0.731,0.747
048_ZW Parque Cien Palos.csv,SVR,0.148,0.138,14.803,13.799,1429559.616,1291396.874,2120556.793,1910060.469,0.392,0.506
049_ZW Cerro 3 Cruces.csv,SVR,0.379,0.242,37.89,24.157,979980.647,926014.13,1472257.502,1273900.609,0.806,0.854
050_ZW Parque Calima.csv,SVR,0.25,0.239,24.951,23.876,976657.103,932905.223,1460348.936,1234057.118,0.773,0.838
051_ZW Parque La Merced.csv,SVR,5.545,3.796,554.451,379.629,1032506.255,1071338.126,1415620.284,1525629.04,-0.153,-0.339
052_ZW Puente de Colores.csv,SVR,0.605,0.649,60.521,64.946,1872256.026,1480672.07,2655469.564,2134067.984,-0.063,0.314
053_ZW Polideportivo Laureano Gomez.csv,SVR,0.318,0.236,31.804,23.611,2000046.05,1160356.876,3267037.782,1648171.701,0.194,0.795
054_ZW El Diamante.csv,SVR,0.88,0.629,87.991,62.852,779481.321,777469.506,1187954.814,1144261.292,0.464,0.503
055_ZW Polideportivo Petecuy.csv,SVR,0.271,0.221,27.1,22.067,1132284.119,876294.175,1612793.583,1262768.211,0.451,0.663
056_ZW Comuna 16.csv,SVR,0.816,0.264,81.582,26.44,159167.085,102672.366,321677.774,205237.742,0.668,0.865
057_La Castilla.csv,SVR,83.972,83.972,8397.247,8397.247,1195770.891,1195770.891,1566004.388,1566004.388,-0.336,-0.336
058_La Elvira.csv,SVR,4.326,3.799,432.57,379.928,2083759.155,1987693.602,3200692.412,3133819.237,0.556,0.575
059_El Saladito.csv,SVR,1.077,1.017,107.664,101.669,1549690.43,1554650.16,1995879.655,2035049.598,0.222,0.191
