DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537
4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695
5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646
6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056
0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603
1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603,1,1,0,0,"1039,6",-0.4422110552763819,1.9004623154218576
2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148,3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603,1,1,0,0,"1039,6",-0.4422110552763819,1.9004623154218576,2,1,0,0,"1061,7",-0.4422110552763819,2.015364988347851
3,1,0,0,"2,4",-0.1206030150753768,-0.0326955623680537,4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603,1,1,0,0,"1039,6",-0.4422110552763819,1.9004623154218576,2,1,0,0,"1061,7",-0.4422110552763819,2.015364988347851,3,0,0,1,"1241,9",-0.2613065326633166,1.8595372919637456
4,1,0,0,"1,5",0.0804020100502512,-0.0340974830424695,5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603,1,1,0,0,"1039,6",-0.4422110552763819,1.9004623154218576,2,1,0,0,"1061,7",-0.4422110552763819,2.015364988347851,3,0,0,1,"1241,9",-0.2613065326633166,1.8595372919637456,4,0,0,1,"1192,3",0.3417085427135678,2.792257668040458
5,0,1,0,"2,8",0.5628140703517588,-0.0323635159241646,6,0,0,1,"4,3",0.8241206030150754,-0.0283758464102056,0,0,0,1,"526,8",-1.0452261306532664,0.8473656471739603,1,1,0,0,"1039,6",-0.4422110552763819,1.9004623154218576,2,1,0,0,"1061,7",-0.4422110552763819,2.015364988347851,3,0,0,1,"1241,9",-0.2613065326633166,1.8595372919637456,4,0,0,1,"1192,3",0.3417085427135678,2.792257668040458,5,0,1,0,"50,7",0.2211055276381909,0.0380762947926044
