DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
6,0,1,0,"0,7",-0.4116424116424116,-0.0611078608222441,0,1,0,0,"1,1",-0.2702702702702703,-0.0549859403604854,1,1,0,0,"0,7",-0.395010395010395,-0.0629768459583444,2,1,0,0,"1,0",-0.3617463617463617,-0.053977881356227,3,1,0,0,"1,0",-0.3118503118503118,-0.0490708012329337,4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668
0,1,0,0,"1,1",-0.2702702702702703,-0.0549859403604854,1,1,0,0,"0,7",-0.395010395010395,-0.0629768459583444,2,1,0,0,"1,0",-0.3617463617463617,-0.053977881356227,3,1,0,0,"1,0",-0.3118503118503118,-0.0490708012329337,4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702
1,1,0,0,"0,7",-0.395010395010395,-0.0629768459583444,2,1,0,0,"1,0",-0.3617463617463617,-0.053977881356227,3,1,0,0,"1,0",-0.3118503118503118,-0.0490708012329337,4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827
2,1,0,0,"1,0",-0.3617463617463617,-0.053977881356227,3,1,0,0,"1,0",-0.3118503118503118,-0.0490708012329337,4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874
3,1,0,0,"1,0",-0.3118503118503118,-0.0490708012329337,4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226
4,1,0,0,"0,8999999999999999",-0.395010395010395,-0.0549223153345756,5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431
5,0,1,0,"0,7",-0.2869022869022869,-0.0628833967015394,6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957
6,0,1,0,"0,4",-0.4365904365904366,-0.0711964039930668,0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774
0,1,0,0,"13,899999999999999",-0.0706860706860706,0.2412263326087702,1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313
1,1,0,0,"2,9",0.4033264033264033,-0.0269312804983827,2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091
