Zona,MAPE,MAPE(%),MAE,RMSE,R2
046_ZW Sebastian Belalcazar.csv,0.2821325041675824,28.21325041675824,680398.9170078741,1066618.5477694517,0.39703799722822286
047_ZW Parque del Mico.csv,0.2514977178969093,25.149771789690927,1244838.871417323,1677238.51737415,0.6865621294914701
048_ZW Parque Cien Palos.csv,0.22574394389693556,22.574394389693555,1485576.2965354333,2137401.3549984763,0.6689116845938363
049_ZW Cerro 3 Cruces.csv,0.30272216424159953,30.272216424159954,803328.0338429637,1279227.4343833416,0.8451135929173124
050_ZW Parque Calima.csv,0.3924813229389216,39.248132293892155,1276285.1242375309,2245182.084425183,0.5915420110253224
051_ZW Parque La Merced.csv,0.6234588174070254,62.34588174070254,672081.4419772059,1140056.4127150425,0.2568559318720971
052_ZW Puente de Colores.csv,0.4533617700672508,45.33617700672508,1445701.4029020579,2488564.393130791,0.09465575357853007
053_ZW Polideportivo Laureano Gomez.csv,0.3278432766238871,32.78432766238871,1284183.6588031494,2061363.9458470917,0.6717441160740624
054_ZW El Diamante.csv,0.6934282790507783,69.34282790507783,553989.4838057742,1000524.78425404,0.5979859679567647
055_ZW Polideportivo Petecuy.csv,0.3258577568039395,32.58577568039395,926892.0833070866,1349064.8170551856,0.5742093650721884
056_ZW Comuna 16.csv,1.0411783606446945,104.11783606446944,163089.3237795276,314240.7140848862,0.6042083248736358
057_La Castilla.csv,56.12195706089498,5612.195706089497,3850007.3004724407,5885006.248691465,-13.807498568492775
058_La Elvira.csv,0.5939889436413078,59.39889436413078,1132445.0938814408,2275095.889463773,0.6311265329516337
059_El Saladito.csv,62.02196301525496,6202.196301525496,1055624.5102677164,1494956.0775176473,0.33265173018619
060_Felidia.csv,0.7656536177654936,76.56536177654935,1232652.1570419194,1420857.5889135704,-0.5438702447830892
061_La Leonera.csv,14.870145321001667,1487.0145321001667,409008.22510278237,614518.5725836959,0.7234146110236555
062_Pichinde.csv,104.5589455353463,10455.89455353463,1190275.7367127615,3321744.6078778976,0.5614659914360086
063_Los Andes.csv,8.477094405858692,847.7094405858692,1100758.1846653542,2146683.8988109715,0.37108490948926287
