Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
041_ZW Parque Junin_ojoimputado.csv,Sin Hiperparametros,0.118586,11.8586,864336.4299394401,1266916.9096184422,0.8107925023342744
042_ZW Parque Mariano Ramos_ojoimputado.csv,Sin Hiperparametros,0.218533,21.8533,1268924.955171929,1504968.9385387285,0.4617668209380176
043_ZW Polideportivo Ricardo Balcazar_ojoimputado.csv,Sin Hiperparametros,0.201158,20.1158,1879720.3282375024,2174040.446833095,0.4656889090223296
044_ZW Polideportivo San Benito_ojoimputado.csv,Sin Hiperparametros,0.236265,23.6265,1409943.5084704738,2124675.5224775835,0.6275832556998552
045_ZW Parque Santa Anita_ojoimputado.csv,Sin Hiperparametros,0.258783,25.8783,927132.0712273973,1173845.1049206844,0.37832616754624915
046_ZW Sebastian Belalcazar_ojoimputado.csv,Sin Hiperparametros,0.231725,23.1725,656401.2128135486,1033052.2362512036,0.43296293751664117
047_ZW Parque del Mico_ojoimputado.csv,Sin Hiperparametros,0.229809,22.9809,1112936.2208512863,1387705.6749154972,0.7474602202437604
048_ZW Parque Cien Palos_ojoimputado.csv,Sin Hiperparametros,0.163416,16.3416,1353934.6343238247,1756117.009538757,0.4701092136931343
049_ZW Cerro 3 Cruces_ojoimputado.csv,Sin Hiperparametros,0.276322,27.6322,851126.076623856,1150567.5617423486,0.8744152602850201
050_ZW Parque Calima_ojoimputado.csv,Sin Hiperparametros,0.239293,23.9293,995005.3235245423,1493305.5545544787,0.7948619907497355
051_ZW Parque La Merced_ojoimputado.csv,Sin Hiperparametros,0.343803,34.3803,710424.771996855,1199547.7449044425,0.28957289368694394
052_ZW Puente de Colores_ojoimputado.csv,Sin Hiperparametros,0.320777,32.0777,1136939.4547436726,1686950.3918469574,0.3710249195993822
053_ZW Polideportivo Laureano Gomez_ojoimputado.csv,Sin Hiperparametros,0.175735,17.5735,1178229.871469816,1925815.6830549133,0.7153805599877613
054_ZW El Diamante_ojoimputado.csv,Sin Hiperparametros,0.318932,31.8932,623418.0625095671,1058040.878087655,0.5656900878705452
055_ZW Polideportivo Petecuy_ojoimputado.csv,Sin Hiperparametros,0.200743,20.0743,1001670.8708889356,1466917.8984005689,0.5961570097433695
056_ZW Comuna 16_ojoimputado.csv,Sin Hiperparametros,0.244271,24.4271,131638.48293748492,270454.0370124464,0.8033162175185526
057_La Castilla_ojoimputado.csv,Sin Hiperparametros,55.058811,5505.8811,890431.2130099032,1303239.7384106976,-0.011724149047138255
058_La Elvira_ojoimputado.csv,Sin Hiperparametros,2.231333,223.1333,1653677.9832772345,2858501.7426810735,0.558662986983886
059_El Saladito_ojoimputado.csv,Sin Hiperparametros,0.913327,91.3327,1534429.3711340486,1981620.667998466,0.1964694066065914
