Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
038_ZW Parque Sector Amarillo Skate Park.csv,Random Forest,0.19712,0.195461,19.712,19.5461,1079713.162857143,1074271.418,1450176,1455090,0.672,0.669
039_ZW Biblioteca Daniel Guillard.csv,Random Forest,0.187267,0.187162,18.7267,18.7162,1678754.5400000003,1660763.442,2062479,2021791,0.67,0.683
040_ZW Polideportivo Torres Comfandi.csv,Random Forest,0.265913,0.264744,26.5913,26.4744,1907529.467894737,1889987.565,3242404,3224736,0.259,0.267
041_ZW Parque Junin.csv,Random Forest,0.112669,0.111919,11.2669,11.1919,832090.8020512819,840154.668,1201016,1224621,0.835,0.829
042_ZW Parque Mariano Ramos.csv,Random Forest,0.227894,0.227257,22.7894,22.7257,1337949.092112676,1340769.501,1545469,1555552,0.426,0.419
043_ZW Polideportivo Ricardo Balcazar.csv,Random Forest,0.196558,0.19545,19.6558,19.545,1868567.031,1857946.522,2203301,2186641,0.463,0.471
044_ZW Polideportivo San Benito.csv,Random Forest,0.232536,0.233729,23.2536,23.3729,1239763.4216666666,1245552.087,1697408,1702866,0.767,0.766
045_ZW Parque Santa Anita.csv,Random Forest,0.253671,0.251756,25.3671,25.1756,919488.4763157896,906824.51,1161592,1140504,0.399,0.421
046_ZW Sebastian Belalcazar.csv,Random Forest,0.245191,0.24278,24.5191,24.278,676233.7936190476,653659.754,987831,954484,0.48,0.515
047_ZW Parque del Mico.csv,Random Forest,0.229359,0.228028,22.9359,22.8028,1098313.1898387095,1096752.054,1362113,1370129,0.762,0.76
048_ZW Parque Cien Palos.csv,Random Forest,0.176997,0.170732,17.6997,17.0732,1422678.6143243245,1370421.364,1729461,1636156,0.428,0.488
049_ZW Cerro 3 Cruces.csv,Random Forest,0.315425,0.312367,31.5425,31.2367,830494.2018032788,845414.567,1138297,1144260,0.875,0.874
050_ZW Parque Calima.csv,Random Forest,0.253949,0.253805,25.3949,25.3805,1049547.982,1051567.116,1511996,1535447,0.795,0.789
051_ZW Parque La Merced.csv,Random Forest,0.31771,0.323123,31.771,32.3123,642362.9912222221,667528.257,1061839,1114203,0.449,0.394
052_ZW Puente de Colores.csv,Random Forest,0.286805,0.292091,28.6805,29.2091,1082413.1494736844,1090372.766,1664723,1666002,0.398,0.397
053_ZW Polideportivo Laureano Gomez.csv,Random Forest,0.161744,0.167173,16.1744,16.7173,1047908.1955714287,1082996.981,1708221,1771588,0.778,0.761
054_ZW El Diamante.csv,Random Forest,0.317752,0.314625,31.7752,31.4625,639656.7479999999,635259.0,1095225,1094182,0.541,0.542
055_ZW Polideportivo Petecuy.csv,Random Forest,0.201161,0.210383,20.1161,21.0383,995049.8915384618,1030595.108,1402487,1428335,0.644,0.631
056_ZW Comuna 16.csv,Random Forest,0.246542,0.248457,24.6542,24.8457,133503.1975925926,131016.331,277108,265762,0.799,0.815
057_La Castilla.csv,Random Forest,39.798144,46.22411,3979.8144,4622.411,597506.4272727272,616318.178,875485,878483,0.555,0.552
058_La Elvira.csv,Random Forest,2.327523,2.327523,232.7523,232.7523,1659301.0323913042,1659301.032,2977944,2977944,0.534,0.534
059_El Saladito.csv,Random Forest,0.854756,0.850283,85.4756,85.0283,1556688.8286000001,1568250.629,1948527,1986971,0.224,0.193
