Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
015_ZW Centro Cultural Comuna 13_ojoimputado.csv,Con Hiperparametros,0.243537,24.3537,1422247.074361466,1971839.1072028966,0.8750211872167724
016_ZW Conjunto Habitacional Ramali_ojoimputado.csv,Sin Hiperparametros,0.259921,25.9921,4635404.028529412,7086564.952025426,0.4786211063830069
016_ZW Conjunto Habitacional Ramali_ojoimputado.csv,Con Hiperparametros,0.268408,26.8408,4857362.929421328,7366235.986274361,0.43665666834529837
019_ZW Parque Skate Board_ojoimputado.csv,Sin Hiperparametros,0.360161,36.0161,3138747.100895522,3574903.0518267024,-0.6280364458361791
019_ZW Parque Skate Board_ojoimputado.csv,Con Hiperparametros,0.34257,34.257,2989988.4077611943,3470061.266024423,-0.5339452922173065
021_ZW Parque Alfonso Barberena_ojoimputado.csv,Sin Hiperparametros,0.185493,18.5493,1374126.5067647055,1752616.0959208617,0.6539714029720526
021_ZW Parque Alfonso Barberena_ojoimputado.csv,Con Hiperparametros,0.190608,19.0608,1395950.932242358,1766510.6071257456,0.648463115761859
022_ZW Polideportivo Los Farallones_ojoimputado.csv,Sin Hiperparametros,0.28901,28.901,1205206.6016176469,2095402.2352710466,0.44036285828368493
022_ZW Polideportivo Los Farallones_ojoimputado.csv,Con Hiperparametros,0.285706,28.5706,1138806.0378521115,1914811.0679130577,0.5326700849107739
023_ZW Parque Los Guerreros_ojoimputado.csv,Sin Hiperparametros,0.237088,23.7088,966719.6615714286,1268929.5470139585,0.5558814922938371
023_ZW Parque Los Guerreros_ojoimputado.csv,Con Hiperparametros,0.23859,23.859,972067.4078285715,1265237.6961485718,0.5584619887903857
024_ZW Museo La Tertulia_ojoimputado.csv,Sin Hiperparametros,0.434652,43.4652,431815.15590361453,716173.9911301996,0.4928924899551165
024_ZW Museo La Tertulia_ojoimputado.csv,Con Hiperparametros,0.41808,41.808,418863.4329199892,698567.8381455397,0.5175190991226928
025_ZW Parque San Marino_ojoimputado.csv,Sin Hiperparametros,0.356663,35.6663,1687248.9518666668,1927524.3588339726,0.5032334816431264
025_ZW Parque San Marino_ojoimputado.csv,Con Hiperparametros,0.387229,38.7229,1808467.8900952383,2047278.7176908285,0.43958918165302363
026_ZW Parque La Flora_ojoimputado.csv,Sin Hiperparametros,0.20947,20.947,1319092.6930882353,2083141.9387990609,0.5153795352760737
026_ZW Parque La Flora_ojoimputado.csv,Con Hiperparametros,0.217266,21.7266,1370543.2625000002,2146183.783524035,0.48560369188805885
027_ZW Parque Alfonso Bonilla Aragón_ojoimputado.csv,Sin Hiperparametros,0.239758,23.9758,813762.6317647059,1072113.7529468574,0.7865535723808497
027_ZW Parque Alfonso Bonilla Aragón_ojoimputado.csv,Con Hiperparametros,0.239685,23.9685,815761.5266509507,1068869.879892803,0.7878432594745284
028_ZW Parque Yo Amo a Siloé_ojoimputado.csv,Sin Hiperparametros,0.186864,18.6864,3949577.501029412,4688925.193447029,-0.13134116389607775
028_ZW Parque Yo Amo a Siloé_ojoimputado.csv,Con Hiperparametros,0.201896,20.1896,4288159.0677395025,5008262.320162806,-0.2906875388522101
029_ZW Centro Cultural Vista Hermosa_ojoimputado.csv,Sin Hiperparametros,286.783355,28678.3355,1362859.3086274508,2116974.9606605805,0.3914899508331168
029_ZW Centro Cultural Vista Hermosa_ojoimputado.csv,Con Hiperparametros,456.774932,45677.4932,1531131.3711632227,2297470.7757752114,0.28330181641309726
030_ZW Parque Mutis_ojoimputado.csv,Sin Hiperparametros,0.226034,22.6034,1396522.5554411765,1828066.25514202,0.6303652288183399
030_ZW Parque Mutis_ojoimputado.csv,Con Hiperparametros,0.234072,23.4072,1443981.9010294117,1866082.5648728514,0.6148315865734268
031_ZW Cancha Los Azules_ojoimputado.csv,Sin Hiperparametros,0.218158,21.8158,3121388.1768852463,3819906.288973848,0.49842214193550727
031_ZW Cancha Los Azules_ojoimputado.csv,Con Hiperparametros,0.217456,21.7456,3108338.1158032785,3808361.998441733,0.5014492375977211
032_ZW Parque La Orqueta_ojoimputado.csv,Sin Hiperparametros,0.191048,19.1048,3518394.203896104,4447929.366626907,0.32318361459175227
032_ZW Parque La Orqueta_ojoimputado.csv,Con Hiperparametros,0.195863,19.5863,3618948.568756958,4548403.559479713,0.29226107564565884
034_ZW Parque Villa Colombia_ojoimputado.csv,Sin Hiperparametros,0.294794,29.4794,1291711.726813187,1762487.7580452508,0.2446194905123713
034_ZW Parque Villa Colombia_ojoimputado.csv,Con Hiperparametros,0.254639,25.4639,1130710.6687878275,1629340.6359053454,0.3544389272859494
035_ZW Parque Colseguros_ojoimputado.csv,Sin Hiperparametros,0.193312,19.3312,1410066.354117647,1756551.285758843,0.5150266891566495
035_ZW Parque Colseguros_ojoimputado.csv,Con Hiperparametros,0.187152,18.7152,1359527.7999019604,1726371.2567348555,0.5315485758583711
036_ZW Parque India Elena_ojoimputado.csv,Sin Hiperparametros,0.22156,22.156,1761337.4566153847,2061674.4624259046,0.6437024918058347
036_ZW Parque India Elena_ojoimputado.csv,Con Hiperparametros,0.219701,21.9701,1750322.332923077,2044147.9010336315,0.6497346049159174
037_ZW Parque Tequendama_ojoimputado.csv,Sin Hiperparametros,0.269689,26.9689,2018443.5461333334,2556095.5606675358,0.3500170938573347
037_ZW Parque Tequendama_ojoimputado.csv,Con Hiperparametros,0.267995,26.7995,2017118.5729770581,2563239.631216301,0.346378722165557
038_ZW Parque Sector Amarillo Skate Park_ojoimputado.csv,Sin Hiperparametros,0.20354,20.354,1183127.7118461537,1688691.180208549,0.5635101975876822
038_ZW Parque Sector Amarillo Skate Park_ojoimputado.csv,Con Hiperparametros,0.215172,21.5172,1272408.0591357064,1815888.9472633554,0.49527803865981235
039_ZW Biblioteca Daniel Guillard_ojoimputado.csv,Sin Hiperparametros,0.194677,19.4677,1745776.771285714,2130540.8102363166,0.6450410023685974
039_ZW Biblioteca Daniel Guillard_ojoimputado.csv,Con Hiperparametros,0.195461,19.5461,1745797.742571429,2120770.3752806936,0.6482891463167701
040_ZW Polideportivo Torres Comfandi_ojoimputado.csv,Sin Hiperparametros,0.410203,41.0203,2954940.176271187,4454455.058366196,-0.16693445366840387
040_ZW Polideportivo Torres Comfandi_ojoimputado.csv,Con Hiperparametros,0.383427,38.3427,2777251.852556485,4286799.993332272,-0.08074626176636945
041_ZW Parque Junin_ojoimputado.csv,Sin Hiperparametros,0.115527,11.5527,838294.6048780489,1309137.4064610365,0.7979715456726449
041_ZW Parque Junin_ojoimputado.csv,Con Hiperparametros,0.120078,12.0078,886011.8650955532,1367427.100926572,0.7795802820282698
042_ZW Parque Mariano Ramos_ojoimputado.csv,Sin Hiperparametros,0.227242,22.7242,1336736.820958904,1569374.1255337081,0.41471368564288047
042_ZW Parque Mariano Ramos_ojoimputado.csv,Con Hiperparametros,0.21917,21.917,1286094.4593965148,1523818.5551399018,0.4481997305763472
043_ZW Polideportivo Ricardo Balcazar_ojoimputado.csv,Sin Hiperparametros,0.191585,19.1585,1784982.5015384618,2095027.46490359,0.5038209864073062
043_ZW Polideportivo Ricardo Balcazar_ojoimputado.csv,Con Hiperparametros,0.206919,20.6919,1937230.593752618,2255279.231342323,0.42501092769635995
044_ZW Polideportivo San Benito_ojoimputado.csv,Sin Hiperparametros,0.241098,24.1098,1458051.8591176472,2252228.2850341387,0.5815257047585507
044_ZW Polideportivo San Benito_ojoimputado.csv,Con Hiperparametros,0.239954,23.9954,1452917.9334313727,2269337.545413461,0.5751435980120865
045_ZW Parque Santa Anita_ojoimputado.csv,Sin Hiperparametros,0.264049,26.4049,942092.281340206,1203055.7671957219,0.34700099481076296
045_ZW Parque Santa Anita_ojoimputado.csv,Con Hiperparametros,0.265864,26.5864,957500.5321005568,1232800.6666923845,0.31431172688008124
046_ZW Sebastian Belalcazar_ojoimputado.csv,Sin Hiperparametros,0.235789,23.5789,665092.1956074765,1034654.6845280699,0.4312024218931215
046_ZW Sebastian Belalcazar_ojoimputado.csv,Con Hiperparametros,0.238087,23.8087,687441.671542056,1101505.1518001764,0.3553263089640659
047_ZW Parque del Mico_ojoimputado.csv,Sin Hiperparametros,0.22819,22.819,1109976.7932812502,1387195.950418568,0.7476457092463684
047_ZW Parque del Mico_ojoimputado.csv,Con Hiperparametros,0.225249,22.5249,1096029.267610587,1382632.4049406722,0.7493033495918192
048_ZW Parque Cien Palos_ojoimputado.csv,Sin Hiperparametros,0.186038,18.6038,1556983.4387179487,1905558.2848786968,0.37608713160831575
048_ZW Parque Cien Palos_ojoimputado.csv,Con Hiperparametros,0.188416,18.8416,1572320.9579480535,1907427.4164428345,0.3748625590658383
049_ZW Cerro 3 Cruces_ojoimputado.csv,Sin Hiperparametros,0.285259,28.5259,848668.9693650795,1158397.130481731,0.872700245960942
049_ZW Cerro 3 Cruces_ojoimputado.csv,Con Hiperparametros,0.316558,31.6558,866054.6853816501,1171755.745849735,0.8697472797404987
050_ZW Parque Calima_ojoimputado.csv,Sin Hiperparametros,0.242088,24.2088,1017622.6488059701,1534046.822859486,0.7835158988938355
050_ZW Parque Calima_ojoimputado.csv,Con Hiperparametros,0.244766,24.4766,1021859.0142569366,1542447.1717707857,0.7811384993652314
051_ZW Parque La Merced_ojoimputado.csv,Sin Hiperparametros,0.359476,35.9476,740843.1919565217,1229329.47404243,0.25385877666473267
051_ZW Parque La Merced_ojoimputado.csv,Con Hiperparametros,0.365526,36.5526,758745.2866693109,1260611.5659987158,0.21540231718583924
052_ZW Puente de Colores_ojoimputado.csv,Sin Hiperparametros,0.346621,34.6621,1222429.127948718,1771322.561985739,0.3065356728501145
052_ZW Puente de Colores_ojoimputado.csv,Con Hiperparametros,0.346574,34.6574,1263086.1129191928,1848290.0029143693,0.24496159016799768
053_ZW Polideportivo Laureano Gomez_ojoimputado.csv,Sin Hiperparametros,0.169458,16.9458,1130838.1952777777,1868651.811710902,0.7320264718798205
053_ZW Polideportivo Laureano Gomez_ojoimputado.csv,Con Hiperparametros,0.176214,17.6214,1172183.5528968254,1893998.076960625,0.7247076208651697
054_ZW El Diamante_ojoimputado.csv,Sin Hiperparametros,0.325138,32.5138,637674.0032467532,1080961.1456148603,0.546669421646143
054_ZW El Diamante_ojoimputado.csv,Con Hiperparametros,0.328318,32.8318,640901.208051948,1087626.524876073,0.5410615676645605
055_ZW Polideportivo Petecuy_ojoimputado.csv,Sin Hiperparametros,0.200664,20.0664,1005069.792037037,1428270.457328022,0.6171560042941107
055_ZW Polideportivo Petecuy_ojoimputado.csv,Con Hiperparametros,0.229776,22.9776,1113813.9567227995,1520410.815920131,0.566166749650358
056_ZW Comuna 16_ojoimputado.csv,Sin Hiperparametros,0.241163,24.1163,127152.13785714286,263095.5304928253,0.8138733522967991
056_ZW Comuna 16_ojoimputado.csv,Con Hiperparametros,0.246892,24.6892,128943.72273809522,266124.45856361114,0.8095630590857198
057_La Castilla_ojoimputado.csv,Sin Hiperparametros,54.045678,5404.5678,868328.5901754386,1254991.186342342,0.06180127156682991
057_La Castilla_ojoimputado.csv,Con Hiperparametros,39.728338,3972.8338,833335.8747368421,1209584.7786375233,0.12846242770086602
058_La Elvira_ojoimputado.csv,Sin Hiperparametros,2.072808,207.2808,1590896.1533333333,2736095.385097357,0.5956514445723106
058_La Elvira_ojoimputado.csv,Con Hiperparametros,2.120529,212.0529,1598093.3256230217,2764412.423824747,0.5872385770703734
059_El Saladito_ojoimputado.csv,Sin Hiperparametros,0.843277,84.3277,1544484.6551923077,2022775.944845018,0.16274657895331346
059_El Saladito_ojoimputado.csv,Con Hiperparametros,0.843684,84.3684,1587428.2590654641,2054485.059412359,0.13629119927049027
