Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
016_ZW Conjunto Habitacional Ramali.csv,Con Hiperparametros,0.288,28.843,3349391.793,4786282.002,0.731
019_ZW Parque Skate Board.csv,Sin Hiperparametros,0.654,65.386,5764299.126,6544850.399,-2.168
019_ZW Parque Skate Board.csv,Con Hiperparametros,0.347,34.699,3308031.746,4213214.907,-0.313
021_ZW Parque Alfonso Barberena.csv,Sin Hiperparametros,0.152,15.231,1036918.36,1370368.863,0.765
021_ZW Parque Alfonso Barberena.csv,Con Hiperparametros,0.17,17.045,1123134.78,1507481.13,0.716
022_ZW Polideportivo Los Farallones.csv,Sin Hiperparametros,15.579,1557.91,1278837.969,2198522.714,0.234
022_ZW Polideportivo Los Farallones.csv,Con Hiperparametros,16.183,1618.345,1393062.679,2081319.836,0.314
023_ZW Parque Los Guerreros.csv,Sin Hiperparametros,1.822,182.227,2746810.309,3379895.617,-1.533
023_ZW Parque Los Guerreros.csv,Con Hiperparametros,0.344,34.435,883420.436,1136095.44,0.714
024_ZW Museo La Tertulia.csv,Sin Hiperparametros,64.891,6489.093,15713720.537,25039985.582,-624.033
024_ZW Museo La Tertulia.csv,Con Hiperparametros,3.273,327.292,1016158.231,1262458.512,-0.589
025_ZW Parque San Marino.csv,Sin Hiperparametros,0.733,73.27,4126266.463,7121983.955,0.051
025_ZW Parque San Marino.csv,Con Hiperparametros,0.766,76.649,4380323.07,7266141.102,0.012
026_ZW Parque La Flora.csv,Sin Hiperparametros,0.243,24.251,1373327.769,2063465.667,0.467
026_ZW Parque La Flora.csv,Con Hiperparametros,0.236,23.643,1345529.834,2017416.529,0.49
027_ZW Parque Alfonso Bonilla Aragón.csv,Sin Hiperparametros,0.278,27.757,696641.191,932734.068,0.857
027_ZW Parque Alfonso Bonilla Aragón.csv,Con Hiperparametros,0.229,22.856,616198.789,880611.144,0.872
028_ZW Parque Yo Amo a Siloé.csv,Sin Hiperparametros,0.141,14.13,3022566.262,3815992.936,0.469
028_ZW Parque Yo Amo a Siloé.csv,Con Hiperparametros,0.202,20.219,4357406.557,5195518.126,0.016
029_ZW Centro Cultural Vista Hermosa.csv,Sin Hiperparametros,4740.008,474000.756,2316180.342,3215101.966,-0.43
029_ZW Centro Cultural Vista Hermosa.csv,Con Hiperparametros,642.288,64228.832,3018445.905,3768847.485,-0.965
030_ZW Parque Mutis.csv,Sin Hiperparametros,0.216,21.614,1431516.535,1935899.655,0.738
030_ZW Parque Mutis.csv,Con Hiperparametros,0.248,24.795,1600531.239,2064308.579,0.702
031_ZW Cancha Los Azules.csv,Sin Hiperparametros,0.264,26.389,2811013.768,3640702.316,0.597
031_ZW Cancha Los Azules.csv,Con Hiperparametros,0.216,21.593,2451681.029,3276796.456,0.674
032_ZW Parque La Orqueta.csv,Sin Hiperparametros,1.103,110.317,5038576.655,6669117.2,-0.376
032_ZW Parque La Orqueta.csv,Con Hiperparametros,0.329,32.931,4014312.313,4893058.398,0.259
034_ZW Parque Villa Colombia.csv,Sin Hiperparametros,0.384,38.422,1306250.476,1760107.59,0.266
034_ZW Parque Villa Colombia.csv,Con Hiperparametros,0.448,44.76,1341898.238,1797174.172,0.235
035_ZW Parque Colseguros.csv,Sin Hiperparametros,0.151,15.093,1085866.937,1455940.064,0.644
035_ZW Parque Colseguros.csv,Con Hiperparametros,0.208,20.757,1444833.541,1834558.345,0.436
036_ZW Parque India Elena.csv,Sin Hiperparametros,0.213,21.261,1760946.731,2177051.438,0.658
036_ZW Parque India Elena.csv,Con Hiperparametros,0.275,27.466,2198132.791,2578701.929,0.521
037_ZW Parque Tequendama.csv,Sin Hiperparametros,0.31,30.969,2292117.37,2759253.28,0.242
037_ZW Parque Tequendama.csv,Con Hiperparametros,0.394,39.364,2839477.893,3372099.477,-0.132
038_ZW Parque Sector Amarillo Skate Park.csv,Sin Hiperparametros,0.441,44.06,1316875.335,1955609.693,0.422
038_ZW Parque Sector Amarillo Skate Park.csv,Con Hiperparametros,0.48,47.988,1389035.452,1878955.359,0.466
039_ZW Biblioteca Daniel Guillard.csv,Sin Hiperparametros,0.186,18.577,1499729.535,2013737.106,0.739
039_ZW Biblioteca Daniel Guillard.csv,Con Hiperparametros,0.167,16.657,1437985.188,2142636.916,0.705
040_ZW Polideportivo Torres Comfandi.csv,Sin Hiperparametros,0.553,55.292,3512740.982,4696503.999,-0.569
040_ZW Polideportivo Torres Comfandi.csv,Con Hiperparametros,0.541,54.116,3190471.548,4422269.126,-0.391
041_ZW Parque Junin.csv,Sin Hiperparametros,0.591,59.053,3583718.934,4273435.846,-0.417
041_ZW Parque Junin.csv,Con Hiperparametros,0.151,15.063,1377859.842,1881797.91,0.725
042_ZW Parque Mariano Ramos.csv,Sin Hiperparametros,0.189,18.899,1039440.306,1342296.504,0.576
042_ZW Parque Mariano Ramos.csv,Con Hiperparametros,0.199,19.944,1097740.318,1342475.125,0.575
043_ZW Polideportivo Ricardo Balcazar.csv,Sin Hiperparametros,0.138,13.769,1199769.21,1614207.675,0.711
043_ZW Polideportivo Ricardo Balcazar.csv,Con Hiperparametros,0.137,13.75,1198593.585,1613572.942,0.711
044_ZW Polideportivo San Benito.csv,Sin Hiperparametros,0.316,31.636,2581447.794,3882972.263,0.666
044_ZW Polideportivo San Benito.csv,Con Hiperparametros,0.349,34.943,2954826.9,4545010.261,0.543
045_ZW Parque Santa Anita.csv,Sin Hiperparametros,0.393,39.308,1078159.35,1397809.664,0.133
045_ZW Parque Santa Anita.csv,Con Hiperparametros,0.476,47.581,1626191.498,2081676.207,-0.923
046_ZW Sebastian Belalcazar.csv,Sin Hiperparametros,0.801,80.079,1420221.12,1950486.458,-0.566
046_ZW Sebastian Belalcazar.csv,Con Hiperparametros,0.884,88.398,1736308.78,2242390.425,-1.07
047_ZW Parque del Mico.csv,Sin Hiperparametros,0.268,26.846,1159911.804,1400136.015,0.7
047_ZW Parque del Mico.csv,Con Hiperparametros,0.28,28.03,1208854.13,1476225.671,0.667
048_ZW Parque Cien Palos.csv,Sin Hiperparametros,0.111,11.105,982100.894,1333875.207,0.759
048_ZW Parque Cien Palos.csv,Con Hiperparametros,0.135,13.526,1091463.144,1339068.198,0.757
049_ZW Cerro 3 Cruces.csv,Sin Hiperparametros,0.243,24.316,917970.886,1274417.95,0.854
049_ZW Cerro 3 Cruces.csv,Con Hiperparametros,0.618,61.835,666954.315,997735.898,0.911
050_ZW Parque Calima.csv,Sin Hiperparametros,0.269,26.931,1041360.864,1436256.995,0.78
050_ZW Parque Calima.csv,Con Hiperparametros,0.287,28.718,1017674.153,1412499.154,0.787
051_ZW Parque La Merced.csv,Sin Hiperparametros,1439252.457,143925245.655,95986215446.399,298866325001.222,-51371703758.859
051_ZW Parque La Merced.csv,Con Hiperparametros,12.104,1210.423,1357700.616,1977773.506,-1.25
052_ZW Puente de Colores.csv,Sin Hiperparametros,0.482,48.216,1532629.434,2293390.12,0.207
052_ZW Puente de Colores.csv,Con Hiperparametros,0.484,48.424,1418710.2,2080467.607,0.348
053_ZW Polideportivo Laureano Gomez.csv,Sin Hiperparametros,0.196,19.615,887687.823,1241367.778,0.884
053_ZW Polideportivo Laureano Gomez.csv,Con Hiperparametros,0.269,26.851,1499464.197,2190532.998,0.638
054_ZW El Diamante.csv,Sin Hiperparametros,0.776,77.583,734054.073,1109767.093,0.532
054_ZW El Diamante.csv,Con Hiperparametros,1.387,138.668,946639.818,1349719.373,0.308
055_ZW Polideportivo Petecuy.csv,Sin Hiperparametros,0.21,21.04,946922.755,1482445.707,0.536
055_ZW Polideportivo Petecuy.csv,Con Hiperparametros,0.239,23.857,918334.516,1445415.877,0.559
056_ZW Comuna 16.csv,Sin Hiperparametros,0.806,80.626,145190.444,248574.418,0.802
056_ZW Comuna 16.csv,Con Hiperparametros,0.625,62.539,147037.036,259631.675,0.784
057_La Castilla.csv,Sin Hiperparametros,817.789,81778.92,5388351.151,7156887.205,-26.91
057_La Castilla.csv,Con Hiperparametros,332.47,33247.022,4953895.769,7142791.757,-26.8
058_La Elvira.csv,Sin Hiperparametros,4.575,457.495,2072735.976,3042651.368,0.599
058_La Elvira.csv,Con Hiperparametros,6.678,667.831,1937602.246,2776539.221,0.666
059_El Saladito.csv,Sin Hiperparametros,2.03,203.024,1998148.645,2396038.883,-0.122
059_El Saladito.csv,Con Hiperparametros,1.013,101.325,1572860.072,1975201.654,0.238
