Zona,MAPE,MAPE(%),MAE,RMSE,R2
034_ZW Parque Villa Colombia.csv,1.0272627089135702,102.72627089135702,1742971.8732206323,2545888.1296517714,-0.4585655682697747
035_ZW Parque Colseguros.csv,0.25903165315563276,25.903165315563275,1792333.2673430617,2493459.02232038,0.12102673577710465
036_ZW Parque India Elena.csv,0.25392755820317114,25.392755820317113,2102629.1884539546,2798290.9991721953,0.4448467698120714
037_ZW Parque Tequendama.csv,0.4003105988685258,40.03105988685258,1494424.4055548236,1848200.1501111875,0.7369788887918576
038_ZW Parque Sector Amarillo Skate Park.csv,0.34691430412770874,34.69143041277087,1439463.1817354402,2243812.067972231,0.3089301684828616
039_ZW Biblioteca Daniel Guillard.csv,0.4182221652745334,41.822216527453335,2630504.6542776865,3718984.4489070633,0.01156956616166016
040_ZW Polideportivo Torres Comfandi.csv,2.3812193900158354,238.12193900158354,3605398.4855754776,4881913.095651939,-1.2262259535527162
041_ZW Parque Junin.csv,0.48075755709533596,48.075755709533595,1946628.936792468,2477791.6708411537,0.6394113665288046
042_ZW Parque Mariano Ramos.csv,0.34840050949203283,34.84005094920328,1729807.0359249967,2323355.5281695826,-0.3006306242957921
043_ZW Polideportivo Ricardo Balcazar.csv,0.4408771390682328,44.087713906823275,1693998.936560376,2027490.7662889387,0.5761979509456205
044_ZW Polideportivo San Benito.csv,0.32120977862364347,32.12097786236435,2843108.1617767517,4844017.45075911,0.38209965884950925
045_ZW Parque Santa Anita.csv,0.3885107692169733,38.85107692169733,1213764.8996882173,1604227.8298670426,-0.06979658736897831
046_ZW Sebastian Belalcazar.csv,14.254025397532542,1425.4025397532541,1691780.7867760363,2240443.685501999,-1.031433524284886
047_ZW Parque del Mico.csv,0.2930501331704605,29.305013317046054,1714450.016719482,2504240.236448716,0.4145076948469948
048_ZW Parque Cien Palos.csv,0.59741548380353,59.741548380353,3292295.62651309,4228245.543284606,-0.6477856586361621
049_ZW Cerro 3 Cruces.csv,0.9833868095731362,98.33868095731361,2731177.6160160326,3959639.365356748,-0.5540098503485724
050_ZW Parque Calima.csv,0.872420359652491,87.2420359652491,1699250.9597415843,2843714.204324105,0.4902350403751251
051_ZW Parque La Merced.csv,27.200598275396977,2720.059827539698,549921.2578063256,904059.9035792605,0.46954983408956985
052_ZW Puente de Colores.csv,0.5473857775771536,54.738577757715355,1913531.5306454138,3013067.604631758,-0.13647514231335078
053_ZW Polideportivo Laureano Gomez.csv,0.6459865699051767,64.59865699051767,2150393.1948011396,3200557.6452625333,0.13813287171900368
054_ZW El Diamante.csv,2.639679832820921,263.96798328209206,717076.0808545616,1144881.1266028676,0.61188161783737
055_ZW Polideportivo Petecuy.csv,1.1130843998981532,111.30843998981533,672278.3602160091,1014550.533312629,0.7619093796738752
056_ZW Comuna 16.csv,25.246918366157693,2524.6918366157693,161637.56401445938,355540.6191465764,0.37692343846994447
057_La Castilla.csv,250.73420726264686,25073.420726264685,1884652.640948556,3016196.2038246873,-0.2798968426838555
058_La Elvira.csv,1.5079585487531024,150.79585487531025,1532937.2381953627,2313209.4732181886,0.5080694486969026
059_El Saladito.csv,114.22147084541817,11422.147084541817,1321200.7583652514,1822851.6219234753,0.10204455969111159
060_Felidia.csv,0.3295537658097669,32.95537658097669,808592.8286925715,1099806.235707336,0.7108837974990079
061_La Leonera.csv,18.457950985541142,1845.7950985541142,1128219.4905552715,1548078.520058808,0.3007263451843383
062_Pichinde.csv,73.22196358406921,7322.196358406922,1378724.7302265132,3901943.545233323,0.369293074849644
063_Los Andes.csv,13.92159391168694,1392.1593911686941,1709070.1367638349,2997887.7177055846,-0.31866523111094636
