FECHA CONEXIÓN;AREA;NOMBRE ZONA;COMUNA;MODEL;NÚMERO CONEXIONES;USAGE (kB);PORCENTAJE USO
1-ene-24;URBANA;023_ZW Parque Los Guerreros;21;MR76;34;414008;47,40%
1-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;17;5642341;645,50%
1-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;43;12520;1,40%
1-ene-24;URBANA;025_ZW Parque San Marino;7;MR76;16;444658;50,90%
1-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;43;1414414;161,80%
1-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;23;1580012;180,80%
1-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;35;4621;0,50%
1-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;41;9208;1,10%
1-ene-24;URBANA;028_ZW Parque Yo Amo a Siloé;20;MR76;33;15974078;1827,40%
1-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;44;3197167;365,80%
1-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;40;1860119;212,80%
1-ene-24;URBANA;030_ZW Parque Mutis;1;MR76;35;5655;0,60%
1-ene-24;URBANA;031_ZW Cancha Los Azules;21;MR76;25;1592208;182,10%
1-ene-24;URBANA;032_ZW Parque La Orqueta;20;MR76;14;3773;0,40%
1-ene-24;URBANA;033_ZW Plaza Alameda;19;MR76;1;1279;0,10%
1-ene-24;URBANA;034_ZW Parque Villa Colombia;8;MR76;5;4585;0,50%
1-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;70;6298076;720,50%
1-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;64;1519747;173,90%
1-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;96;26594;3,00%
1-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;89;25253;2,90%
1-ene-24;URBANA;037_ZW Parque Tequendama;19;MR76;3;1493645;170,90%
1-ene-24;URBANA;038_ZW Parque Sector Amarillo Skate Park;21;MR76;30;16075;1,80%
1-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;39;12851;1,50%
1-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;48;10160;1,20%
1-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;13;822508;94,10%
1-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;13;35052;4,00%
1-ene-24;URBANA;041_ZW Parque Junin;9;MR76;35;2112903;241,70%
1-ene-24;URBANA;042_ZW Parque Mariano Ramos;16;MR76;30;3130;0,40%
1-ene-24;URBANA;043_ZW Polideportivo Ricardo Balcazar;13;MR76;33;6394;0,70%
1-ene-24;URBANA;044_ZW Polideportivo San Benito;11;MR76;24;6995;0,80%
1-ene-24;URBANA;046_ZW Sebastian Belalcazar;2;MR76;23;502982;57,50%
1-ene-24;URBANA;047_ZW Parque del Mico;11;MR76;19;2103589;240,60%
1-ene-24;URBANA;048_ZW Parque Cien Palos;9;MR76;43;1432484;163,90%
1-ene-24;URBANA;050_ZW Parque Calima;4;MR76;22;3613157;413,30%
1-ene-24;URBANA;051_ZW Parque La Merced;2;MR76;8;221715;25,40%
1-ene-24;URBANA;052_ZW Puente de Colores;13;MR74;34;9639;1,10%
1-ene-24;URBANA;052_ZW Puente de Colores;13;MR76;46;5027;0,60%
1-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;18;64697;7,40%
1-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;22;76183;8,70%
1-ene-24;URBANA;054_ZW El Diamante;13;MR76;20;4292594;491,10%
1-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;1;2;0,00%
1-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;2;12;0,00%
1-ene-24;URBANA;056_ZW Comuna 16;16;MR76;23;315628;36,10%
1-ene-24;URBANA;056_ZW Comuna 16;16;MR76;27;288145;33,00%
1-ene-24;RURAL;057_La Castilla;99;MR76;21;4646606;1776,20%
1-ene-24;RURAL;057_La Castilla;99;MR76;17;796186;304,40%
1-ene-24;RURAL;059_El Saladito;99;MR76;19;749318;286,40%
1-ene-24;RURAL;060_Felidia;99;MR76;57;2034605;777,80%
1-ene-24;RURAL;061_La Leonera;99;MR76;30;5068376;1937,50%
1-ene-24;RURAL;061_La Leonera;99;MR76;16;11507708;4399,00%
1-ene-24;RURAL;062_Pichinde;99;MR76;15;560521;214,30%
1-ene-24;RURAL;062_Pichinde;99;MR76;13;438432;167,60%
1-ene-24;RURAL;063_Los Andes;99;MR76;2;63;0,00%
1-ene-24;RURAL;063_Los Andes;99;MR76;15;298864;114,20%
1-ene-24;RURAL;063_Los Andes;99;MR76;10;59025;22,60%
2-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;21;1181558;140,30%
2-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;22;548413;65,10%
2-ene-24;URBANA;002_ZW Canchas Panamericanas;19;MR76;25;2565564;304,70%
2-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;50;3197761;379,80%
2-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;42;2093425;248,70%
2-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;128;202038;24,00%
2-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;97;69675;8,30%
2-ene-24;URBANA;006_ZW Parque Vallado;15;MR76;73;14047;1,70%
2-ene-24;URBANA;008_ZW Parque Alfonso Lopez;7;MR76;29;3511948;417,20%
2-ene-24;URBANA;010_ZW Parque Antonio Nariño;16;MR76;23;132583;15,70%
2-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;28;2411912;286,50%
2-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;21;1370059;162,70%
2-ene-24;URBANA;012_ZW Polideportivo Los Naranjos;14;MR76;26;2662;0,30%
2-ene-24;URBANA;013_ZW Parque Llano Verde;15;MR76;19;1273;0,20%
2-ene-24;URBANA;014_ZW Centro Cultural Alto Jordan;18;MR76;13;5461770;648,80%
2-ene-24;URBANA;015_ZW Centro Cultural Comuna 13;13;MR76;24;11925;1,40%
2-ene-24;URBANA;016_ZW Conjunto Habitacional Ramali;6;MR76;27;6028134;716,00%
2-ene-24;URBANA;017_ZW Conjunto Habitacional Rio Cauca;15;MR76;29;33300;4,00%
2-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;34;17402;2,10%
2-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;7;18256;2,20%
2-ene-24;URBANA;019_ZW Parque Skate Board;15;MR76;67;92342;11,00%
2-ene-24;URBANA;020_ZW Parque Petecuy1;6;MR76;13;2680033;318,30%
2-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;68;18455;2,20%
2-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;55;162953;19,40%
2-ene-24;URBANA;023_ZW Parque Los Guerreros;21;MR76;28;125388;14,90%
2-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;24;922926;109,60%
2-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;60;2324;0,30%
2-ene-24;URBANA;025_ZW Parque San Marino;7;MR76;22;3072144;364,90%
2-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;58;158518;18,80%
2-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;33;398865;47,40%
2-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;32;3610;0,40%
2-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;29;6204;0,70%
2-ene-24;URBANA;028_ZW Parque Yo Amo a Siloé;20;MR76;16;11392766;1353,30%
2-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;28;4441260;527,50%
2-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;27;2299729;273,20%
2-ene-24;URBANA;030_ZW Parque Mutis;1;MR76;18;1240;0,10%
2-ene-24;URBANA;031_ZW Cancha Los Azules;21;MR76;19;947915;112,60%
2-ene-24;URBANA;032_ZW Parque La Orqueta;20;MR76;42;9595;1,10%
2-ene-24;URBANA;033_ZW Plaza Alameda;19;MR76;7;1059531;125,90%
2-ene-24;URBANA;033_ZW Plaza Alameda;19;MR76;8;553648;65,80%
2-ene-24;URBANA;034_ZW Parque Villa Colombia;8;MR76;12;1600;0,20%
2-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;49;4186822;497,30%
2-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;50;357196;42,40%
2-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;54;53449;6,30%
2-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;71;154735;18,40%
2-ene-24;URBANA;037_ZW Parque Tequendama;19;MR76;33;4452625;528,90%
2-ene-24;URBANA;038_ZW Parque Sector Amarillo Skate Park;21;MR76;20;2072;0,20%
2-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;27;24207;2,90%
2-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;35;8796;1,00%
2-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;10;566063;67,20%
2-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;9;170630;20,30%
2-ene-24;URBANA;041_ZW Parque Junin;9;MR76;39;4112251;488,50%
2-ene-24;URBANA;042_ZW Parque Mariano Ramos;16;MR76;29;9180;1,10%
2-ene-24;URBANA;043_ZW Polideportivo Ricardo Balcazar;13;MR76;26;4071;0,50%
2-ene-24;URBANA;044_ZW Polideportivo San Benito;11;MR76;24;6009;0,70%
2-ene-24;URBANA;046_ZW Sebastian Belalcazar;2;MR76;19;1102370;130,90%
2-ene-24;URBANA;047_ZW Parque del Mico;11;MR76;20;2866104;340,40%
2-ene-24;URBANA;048_ZW Parque Cien Palos;9;MR76;35;2909161;345,60%
2-ene-24;URBANA;050_ZW Parque Calima;4;MR76;20;1121269;133,20%
2-ene-24;URBANA;051_ZW Parque La Merced;2;MR76;4;251;0,00%
2-ene-24;URBANA;052_ZW Puente de Colores;13;MR74;32;47276;5,60%
2-ene-24;URBANA;052_ZW Puente de Colores;13;MR76;30;34629;4,10%
2-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;14;3385303;402,10%
2-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;12;560929;66,60%
2-ene-24;URBANA;054_ZW El Diamante;13;MR76;8;821654;97,60%
2-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;1;2;0,00%
2-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;3;21;0,00%
2-ene-24;URBANA;056_ZW Comuna 16;16;MR76;15;2189;0,30%
2-ene-24;URBANA;056_ZW Comuna 16;16;MR76;14;2807;0,30%
2-ene-24;RURAL;057_La Castilla;99;MR76;6;326915;100,60%
2-ene-24;RURAL;057_La Castilla;99;MR76;10;24389;7,50%
2-ene-24;RURAL;059_El Saladito;99;MR76;18;1634030;503,00%
2-ene-24;RURAL;060_Felidia;99;MR76;42;2267132;697,80%
2-ene-24;RURAL;061_La Leonera;99;MR76;39;11852598;3648,20%
2-ene-24;RURAL;061_La Leonera;99;MR76;19;13191965;4060,50%
2-ene-24;RURAL;062_Pichinde;99;MR76;11;1223753;376,70%
2-ene-24;RURAL;062_Pichinde;99;MR76;12;856419;263,60%
2-ene-24;RURAL;063_Los Andes;99;MR76;1;8956;2,80%
2-ene-24;RURAL;063_Los Andes;99;MR76;12;400963;123,40%
2-ene-24;RURAL;063_Los Andes;99;MR76;10;701663;216,00%
3-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;34;2036539;168,10%
3-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;37;2452383;202,40%
3-ene-24;URBANA;002_ZW Canchas Panamericanas;19;MR76;27;1679330;138,60%
3-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;53;4497857;371,20%
3-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;56;2164821;178,60%
3-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;113;8741023;721,30%
3-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;103;2838906;234,30%
3-ene-24;URBANA;006_ZW Parque Vallado;15;MR76;66;239653;19,80%
3-ene-24;URBANA;008_ZW Parque Alfonso Lopez;7;MR76;49;8075677;666,40%
3-ene-24;URBANA;010_ZW Parque Antonio Nariño;16;MR76;22;1042349;86,00%
3-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;36;5705234;470,80%
3-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;30;3675415;303,30%
3-ene-24;URBANA;012_ZW Polideportivo Los Naranjos;14;MR76;21;1765;0,10%
3-ene-24;URBANA;013_ZW Parque Llano Verde;15;MR76;15;1645;0,10%
3-ene-24;URBANA;014_ZW Centro Cultural Alto Jordan;18;MR76;15;2077623;171,40%
3-ene-24;URBANA;015_ZW Centro Cultural Comuna 13;13;MR76;22;5857;0,50%
3-ene-24;URBANA;016_ZW Conjunto Habitacional Ramali;6;MR76;31;10735419;885,90%
3-ene-24;URBANA;017_ZW Conjunto Habitacional Rio Cauca;15;MR76;20;68976;5,70%
3-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;34;76762;6,30%
3-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;25;79491;6,60%
3-ene-24;URBANA;019_ZW Parque Skate Board;15;MR76;63;1980880;163,50%
3-ene-24;URBANA;020_ZW Parque Petecuy1;6;MR76;15;3237729;267,20%
3-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;58;9419;0,80%
3-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;71;10991;0,90%
3-ene-24;URBANA;022_ZW Polideportivo Los Farallones;18;MR76;1;10;0,00%
3-ene-24;URBANA;023_ZW Parque Los Guerreros;21;MR76;34;4140482;341,70%
3-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;27;519882;42,90%
3-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;66;256304;21,20%
3-ene-24;URBANA;025_ZW Parque San Marino;7;MR76;33;4647330;383,50%
3-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;69;19106;1,60%
3-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;34;78971;6,50%
3-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;25;849791;70,10%
3-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;27;1147415;94,70%
3-ene-24;URBANA;028_ZW Parque Yo Amo a Siloé;20;MR76;21;14482236;1195,10%
3-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;47;2804467;231,40%
3-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;44;3778860;311,80%
3-ene-24;URBANA;030_ZW Parque Mutis;1;MR76;31;9999;0,80%
3-ene-24;URBANA;031_ZW Cancha Los Azules;21;MR76;19;3038554;250,70%
3-ene-24;URBANA;032_ZW Parque La Orqueta;20;MR76;35;6171557;509,30%
3-ene-24;URBANA;034_ZW Parque Villa Colombia;8;MR76;9;3365;0,30%
3-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;65;155222;12,80%
3-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;61;8021;0,70%
3-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;61;7405;0,60%
3-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;75;8198;0,70%
3-ene-24;URBANA;037_ZW Parque Tequendama;19;MR76;31;5635712;465,10%
3-ene-24;URBANA;038_ZW Parque Sector Amarillo Skate Park;21;MR76;33;13651;1,10%
3-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;31;5300;0,40%
3-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;51;8867;0,70%
3-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;14;666272;55,00%
3-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;10;245631;20,30%
3-ene-24;URBANA;041_ZW Parque Junin;9;MR76;39;2259251;186,40%
3-ene-24;URBANA;042_ZW Parque Mariano Ramos;16;MR76;32;21320;1,80%
3-ene-24;URBANA;043_ZW Polideportivo Ricardo Balcazar;13;MR76;24;2483;0,20%
3-ene-24;URBANA;044_ZW Polideportivo San Benito;11;MR76;27;6419;0,50%
3-ene-24;URBANA;046_ZW Sebastian Belalcazar;2;MR76;18;883463;72,90%
3-ene-24;URBANA;047_ZW Parque del Mico;11;MR76;20;1170624;96,60%
3-ene-24;URBANA;048_ZW Parque Cien Palos;9;MR76;28;899372;74,20%
3-ene-24;URBANA;050_ZW Parque Calima;4;MR76;20;1660024;137,00%
3-ene-24;URBANA;051_ZW Parque La Merced;2;MR76;6;30573;2,50%
3-ene-24;URBANA;052_ZW Puente de Colores;13;MR74;38;24086;2,00%
3-ene-24;URBANA;052_ZW Puente de Colores;13;MR76;42;53827;4,40%
3-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;15;767988;63,40%
3-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;12;1453298;119,90%
3-ene-24;URBANA;054_ZW El Diamante;13;MR76;12;1478505;122,00%
3-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;5;153601;12,70%
3-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;10;177211;14,60%
3-ene-24;URBANA;056_ZW Comuna 16;16;MR76;19;1003;0,10%
3-ene-24;URBANA;056_ZW Comuna 16;16;MR76;19;1866;0,20%
3-ene-24;RURAL;057_La Castilla;99;MR76;16;4111022;1128,40%
3-ene-24;RURAL;057_La Castilla;99;MR76;16;586099;160,90%
3-ene-24;RURAL;059_El Saladito;99;MR76;25;322441;88,50%
3-ene-24;RURAL;060_Felidia;99;MR76;43;3714312;1019,50%
3-ene-24;RURAL;061_La Leonera;99;MR76;36;7676773;2107,20%
3-ene-24;RURAL;061_La Leonera;99;MR76;20;17659856;4847,40%
3-ene-24;RURAL;062_Pichinde;99;MR76;9;410036;112,50%
3-ene-24;RURAL;062_Pichinde;99;MR76;13;1632235;448,00%
3-ene-24;RURAL;063_Los Andes;99;MR76;15;310057;85,10%
3-ene-24;RURAL;063_Los Andes;99;MR76;15;9008;2,50%
4-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;31;1427081;135,10%
4-ene-24;URBANA;001_ZW Parque Ingenio;17;MR76;30;341506;32,30%
4-ene-24;URBANA;002_ZW Canchas Panamericanas;19;MR76;24;2055002;194,50%
4-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;56;2372590;224,60%
4-ene-24;URBANA;003_ZW Parque del Perro;19;MR76;59;1875530;177,50%
4-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;97;6399371;605,70%
4-ene-24;URBANA;005_ZW Parque Barrio Obrero;9;MR76;101;3201666;303,10%
4-ene-24;URBANA;006_ZW Parque Vallado;15;MR76;67;14957;1,40%
4-ene-24;URBANA;008_ZW Parque Alfonso Lopez;7;MR76;40;5532499;523,70%
4-ene-24;URBANA;010_ZW Parque Antonio Nariño;16;MR76;26;707692;67,00%
4-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;29;1464423;138,60%
4-ene-24;URBANA;011_ZW Parque Santa Rosa Poblado;13;MR76;22;601098;56,90%
4-ene-24;URBANA;012_ZW Polideportivo Los Naranjos;14;MR76;23;7799;0,70%
4-ene-24;URBANA;013_ZW Parque Llano Verde;15;MR76;18;1738;0,20%
4-ene-24;URBANA;014_ZW Centro Cultural Alto Jordan;18;MR76;16;3530188;334,10%
4-ene-24;URBANA;015_ZW Centro Cultural Comuna 13;13;MR76;15;1637;0,20%
4-ene-24;URBANA;016_ZW Conjunto Habitacional Ramali;6;MR76;33;8236558;779,60%
4-ene-24;URBANA;017_ZW Conjunto Habitacional Rio Cauca;15;MR76;21;725396;68,70%
4-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;24;72962;6,90%
4-ene-24;URBANA;018_ZW Parque Las Banderas;19;MR76;18;8534;0,80%
4-ene-24;URBANA;019_ZW Parque Skate Board;15;MR76;78;10537349;997,40%
4-ene-24;URBANA;020_ZW Parque Petecuy1;6;MR76;11;894514;84,70%
4-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;67;17872;1,70%
4-ene-24;URBANA;021_ZW Parque Alfonso Barberena;12;MR76;69;51342;4,90%
4-ene-24;URBANA;022_ZW Polideportivo Los Farallones;18;MR76;7;1851293;175,20%
4-ene-24;URBANA;023_ZW Parque Los Guerreros;21;MR76;26;5038805;476,90%
4-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;25;702790;66,50%
4-ene-24;URBANA;024_ZW Museo La Tertulia;2;MR76;68;2880061;272,60%
4-ene-24;URBANA;025_ZW Parque San Marino;7;MR76;30;5493436;520,00%
4-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;58;104281;9,90%
4-ene-24;URBANA;026_ZW Parque La Flora;2;MR76;31;5985;0,60%
4-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;29;834944;79,00%
4-ene-24;URBANA;027_ZW Parque Alfonso Bonilla Aragón;14;MR76;30;683848;64,70%
4-ene-24;URBANA;028_ZW Parque Yo Amo a Siloé;20;MR76;24;8545332;808,90%
4-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;46;3160761;299,20%
4-ene-24;URBANA;029_ZW Centro Cultural Vista Hermosa;1;MR76;35;2472172;234,00%
4-ene-24;URBANA;030_ZW Parque Mutis;1;MR76;28;9310;0,90%
4-ene-24;URBANA;031_ZW Cancha Los Azules;21;MR76;13;2149834;203,50%
4-ene-24;URBANA;032_ZW Parque La Orqueta;20;MR76;49;3447496;326,30%
4-ene-24;URBANA;034_ZW Parque Villa Colombia;8;MR76;6;540;0,10%
4-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;73;22350;2,10%
4-ene-24;URBANA;035_ZW Parque Colseguros;10;MR76;57;3717;0,40%
4-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;50;4174;0,40%
4-ene-24;URBANA;036_ZW Parque India Elena;10;MR76;59;6759;0,60%
4-ene-24;URBANA;037_ZW Parque Tequendama;19;MR76;44;6787853;642,50%
4-ene-24;URBANA;038_ZW Parque Sector Amarillo Skate Park;21;MR76;26;6158;0,60%
4-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;32;13560;1,30%
4-ene-24;URBANA;039_ZW Biblioteca Daniel Guillard;13;MR76;39;9543;0,90%
4-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;7;1061939;100,50%
4-ene-24;URBANA;040_ZW Polideportivo Torres Comfandi;5;MR76;7;315090;29,80%
4-ene-24;URBANA;041_ZW Parque Junin;9;MR76;50;1976792;187,10%
4-ene-24;URBANA;042_ZW Parque Mariano Ramos;16;MR76;28;9835;0,90%
4-ene-24;URBANA;043_ZW Polideportivo Ricardo Balcazar;13;MR76;26;3370;0,30%
4-ene-24;URBANA;044_ZW Polideportivo San Benito;11;MR76;26;14064;1,30%
4-ene-24;URBANA;046_ZW Sebastian Belalcazar;2;MR76;25;1049986;99,40%
4-ene-24;URBANA;047_ZW Parque del Mico;11;MR76;19;568784;53,80%
4-ene-24;URBANA;048_ZW Parque Cien Palos;9;MR76;23;1751096;165,70%
4-ene-24;URBANA;050_ZW Parque Calima;4;MR76;13;1816327;171,90%
4-ene-24;URBANA;051_ZW Parque La Merced;2;MR76;6;77857;7,40%
4-ene-24;URBANA;052_ZW Puente de Colores;13;MR74;28;3793;0,40%
4-ene-24;URBANA;052_ZW Puente de Colores;13;MR76;32;3734;0,40%
4-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;9;1781692;168,60%
4-ene-24;URBANA;053_ZW Polideportivo Laureano Gomez;15;MR76;12;12995;1,20%
4-ene-24;URBANA;054_ZW El Diamante;13;MR76;14;1599;0,20%
4-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;5;524867;49,70%
4-ene-24;URBANA;055_ZW Polideportivo Petecuy;6;MR76;10;357329;33,80%
4-ene-24;URBANA;056_ZW Comuna 16;16;MR76;6;384;0,00%
4-ene-24;URBANA;056_ZW Comuna 16;16;MR76;11;1175;0,10%
4-ene-24;RURAL;057_La Castilla;99;MR76;14;5388666;1211,10%
4-ene-24;RURAL;057_La Castilla;99;MR76;14;443715;99,70%
4-ene-24;RURAL;059_El Saladito;99;MR76;26;1663365;373,80%
4-ene-24;RURAL;060_Felidia;99;MR76;32;2321396;521,70%
4-ene-24;RURAL;061_La Leonera;99;MR76;31;10190781;2290,30%
4-ene-24;RURAL;061_La Leonera;99;MR76;17;22322362;5016,80%
4-ene-24;RURAL;062_Pichinde;99;MR76;7;347124;78,00%
4-ene-24;RURAL;062_Pichinde;99;MR76;18;1429346;321,20%
4-ene-24;RURAL;063_Los Andes;99;MR76;1;1;0,00%
4-ene-24;RURAL;063_Los Andes;99;MR76;10;364656;82,00%
4-ene-24;RURAL;063_Los Andes;99;MR76;11;23744;5,30%
