lag1,lag2,lag3,lag4,lag5,lag6,lag7,target
-0.0418589439897182,-0.043213013493155,-0.0443474155468817,-0.0441195515505407,-0.0426523697035964,-0.044871994531264,-0.0372459275458064,-0.018852876905902
-0.043213013493155,-0.0443474155468817,-0.0441195515505407,-0.0426523697035964,-0.044871994531264,-0.0372459275458064,-0.018852876905902,-0.0446670808654897
-0.0443474155468817,-0.0441195515505407,-0.0426523697035964,-0.044871994531264,-0.0372459275458064,-0.018852876905902,-0.0446670808654897,-0.0465506472812874
-0.0441195515505407,-0.0426523697035964,-0.044871994531264,-0.0372459275458064,-0.018852876905902,-0.0446670808654897,-0.0465506472812874,-0.0448867483151998
-0.0426523697035964,-0.044871994531264,-0.0372459275458064,-0.018852876905902,-0.0446670808654897,-0.0465506472812874,-0.0448867483151998,-0.0427638427377777
-0.044871994531264,-0.0372459275458064,-0.018852876905902,-0.0446670808654897,-0.0465506472812874,-0.0448867483151998,-0.0427638427377777,-0.0439179165034187
-0.0372459275458064,-0.018852876905902,-0.0446670808654897,-0.0465506472812874,-0.0448867483151998,-0.0427638427377777,-0.0439179165034187,-0.0087940748803714
-0.018852876905902,-0.0446670808654897,-0.0465506472812874,-0.0448867483151998,-0.0427638427377777,-0.0439179165034187,-0.0087940748803714,-0.0420212356130115
-0.0446670808654897,-0.0465506472812874,-0.0448867483151998,-0.0427638427377777,-0.0439179165034187,-0.0087940748803714,-0.0420212356130115,-0.0448539621286759
-0.0465506472812874,-0.0448867483151998,-0.0427638427377777,-0.0439179165034187,-0.0087940748803714,-0.0420212356130115,-0.0448539621286759,-0.0435720222355917
-0.0448867483151998,-0.0427638427377777,-0.0439179165034187,-0.0087940748803714,-0.0420212356130115,-0.0448539621286759,-0.0435720222355917,0.3216808494245204
-0.0427638427377777,-0.0439179165034187,-0.0087940748803714,-0.0420212356130115,-0.0448539621286759,-0.0435720222355917,0.3216808494245204,2.010023556875017
-0.0439179165034187,-0.0087940748803714,-0.0420212356130115,-0.0448539621286759,-0.0435720222355917,0.3216808494245204,2.010023556875017,4.7986362585715385
-0.0087940748803714,-0.0420212356130115,-0.0448539621286759,-0.0435720222355917,0.3216808494245204,2.010023556875017,4.7986362585715385,3.941377478840615
-0.0420212356130115,-0.0448539621286759,-0.0435720222355917,0.3216808494245204,2.010023556875017,4.7986362585715385,3.941377478840615,0.9516329979852888
-0.0448539621286759,-0.0435720222355917,0.3216808494245204,2.010023556875017,4.7986362585715385,3.941377478840615,0.9516329979852888,-0.041865501227023
-0.0435720222355917,0.3216808494245204,2.010023556875017,4.7986362585715385,3.941377478840615,0.9516329979852888,-0.041865501227023,-0.0423605726435338
0.3216808494245204,2.010023556875017,4.7986362585715385,3.941377478840615,0.9516329979852888,-0.041865501227023,-0.0423605726435338,-0.0469145739517026
2.010023556875017,4.7986362585715385,3.941377478840615,0.9516329979852888,-0.041865501227023,-0.0423605726435338,-0.0469145739517026,-0.0467391678537998
4.7986362585715385,3.941377478840615,0.9516329979852888,-0.041865501227023,-0.0423605726435338,-0.0469145739517026,-0.0467391678537998,-0.0388835975626748
