FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2025-02-16,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,145424.0,5%,6,0,1,0
2025-02-17,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,26.0,171067.0,6%,0,1,0,0
2025-02-18,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,20.0,239982.0,9%,1,1,0,0
2025-02-19,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,11.0,224353.0,7%,2,1,0,0
2025-02-20,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,3,1,0,0
2025-02-21,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,4,1,0,0
2025-02-22,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,5,0,1,0
2025-02-23,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,6,0,1,0
2025-02-24,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,0,1,0,0
2025-02-25,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,1,1,0,0
2025-02-26,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,2,1,0,0
2025-02-27,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,3,1,0,0
2025-02-28,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,4,1,0,0
2025-03-01,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,5,0,1,0
2025-03-02,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,6,0,1,0
2025-03-03,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,0,1,0,0
2025-03-04,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,1,1,0,0
2025-03-05,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,2,1,0,0
2025-03-06,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,3,1,0,0
2025-03-07,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,4,1,0,0
2025-03-08,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,5,0,1,0
2025-03-09,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,6,0,1,0
2025-03-10,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,0,1,0,0
2025-03-11,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,1,1,0,0
2025-03-12,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,2,1,0,0
2025-03-13,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,3,1,0,0
2025-03-14,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,4,1,0,0
2025-03-15,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,5,0,1,0
2025-03-16,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,6,0,1,0
2025-03-17,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,0,1,0,0
2025-03-18,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,1,1,0,0
2025-03-19,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,2,1,0,0
2025-03-20,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,3,1,0,0
2025-03-21,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,4,1,0,0
2025-03-22,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,5,0,1,0
2025-03-23,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,,,,6,0,1,0
