lags,lags_label,params,mean_absolute_percentage_error,svr__C,svr__epsilon,svr__gamma
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.001561546476677,0.1,0.1,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.001561546476677,0.1,0.004,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.001561546476677,0.1,0.01,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.0015626000003544,1.0,0.01,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.0015626000003544,1.0,0.1,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.0015626000003544,1.0,0.004,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",1.001562798803066,0.1,0.1,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",1.0015627988030662,0.1,0.004,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",1.0015627988030662,0.1,0.01,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.0015628184674696,10.0,0.1,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.0015628184674696,10.0,0.01,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.0015628184674696,10.0,0.004,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.001562820649777,1.0,0.1,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.001562820649777,1.0,0.01,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 1.0, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.001562820649777,1.0,0.004,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",1.0015628208680076,0.1,0.01,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",1.0015628208680076,0.1,0.004,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",1.0015628208680076,0.1,0.1,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.005931119915722,10.0,0.01,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",1.005931119915722,10.0,0.004,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",1.005931119915722,10.0,0.1,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",1.005940895281574,10.0,0.01,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",1.005940895281574,10.0,0.1,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",1.005940895281574,10.0,0.004,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",1.0060690910938388,1.0,0.01,auto
