fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-01-01,URBANA,037_ZW Parque Tequendama,19,MR76,True,Festivo,Lunes,342.517,-7.654.449,3.0,1493645,170.9
2024-01-02,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,33.0,4452625,528.9
2024-01-03,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,31.0,5635712,465.1
2024-01-04,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,44.0,6787853,642.5
2024-01-05,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,33.0,3011343,277.8
2024-01-06,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,23.0,4947251,645.1
2024-01-07,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,19.0,2280726,227.2
2024-01-08,URBANA,037_ZW Parque Tequendama,19,MR76,True,Festivo,Lunes,342.517,-7.654.449,19.0,2198101,139.4
2024-01-09,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,50.0,4900166,378.1
2024-01-10,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,52.0,4202617,348.4
2024-01-11,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,48.0,3756918,349.2
2024-01-12,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,41.0,5429747,467.5
2024-01-13,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,31.0,3033905,337.0
2024-01-14,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,11.0,740325,93.5
2024-01-15,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,67.0,3207624,463.7
2024-01-16,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,62.0,3953247,462.2
2024-01-17,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,61.0,3473765,347.3
2024-01-18,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,61.0,4167144,347.4
2024-01-19,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,58.0,6152767,400.8
2024-01-20,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,36.0,1012500,78.2
2024-01-21,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,23.0,1431,0.1
2024-01-22,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,68.0,161101,15.4
2024-01-23,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,62.0,436993,40.5
2024-01-24,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,64.0,1562153,124.9
2024-01-25,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,61.0,912556,61.0
2024-01-26,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,52.0,1648812,119.7
2024-01-27,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,43.0,2168241,174.7
2024-01-28,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,19.0,610385,59.4
2024-01-29,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,62.0,862562,74.1
2024-01-30,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,80.0,590889,65.3
2024-01-31,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,77.0,1515913,145.1
2024-02-01,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,68.0,716582,51.5
2024-02-02,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,49.0,4409475,461.6
2024-02-03,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,40.0,2872923,161.9
2024-02-04,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,10.0,1325220,82.9
