fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-08-01,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,58.0,2931,0.44
2024-08-02,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,43.0,2776,0.46
2024-08-03,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,49.0,1700,0.35
2024-08-04,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,50.0,68642,10.94
2024-08-05,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,44.0,4399,0.64
2024-08-06,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,39.0,1063,0.1
2024-08-07,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Miércoles,34.307.035,-765.122.692,38.0,5754,0.68
2024-08-08,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,39.0,4307,0.54
2024-08-09,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,29.0,6069,1.12
2024-08-10,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,35.0,6629,1.25
2024-08-11,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,49.0,12954,2.25
2024-08-12,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,46.0,1706,0.37
2024-08-13,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,30.0,1288,0.15
2024-08-14,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,40.0,2076,0.28
2024-08-15,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,44.0,265674,39.89
2024-08-16,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,21.0,1517,0.21
2024-08-17,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,40.0,6195,0.9
2024-08-18,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,34.0,1227,0.19
2024-08-19,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Lunes,34.307.035,-765.122.692,35.0,6605,0.91
2024-08-20,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,22.0,1358,0.34
2024-10-25,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,22.0,10915,2.44
2024-10-26,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,21.0,475186,61.54
2024-10-27,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,50.0,1782561,179.07
2024-10-28,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,27.0,12113,2.01
2024-10-29,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,22.0,544386,85.87
2024-10-30,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,24.0,1648756,336.54
2024-10-31,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,30.0,1688041,359.81
2024-11-01,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,26.0,3067639,554.74
2024-11-02,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,26.0,3275066,527.07
2024-11-03,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,33.0,1639925,278.78
2024-11-04,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Lunes,34.307.035,-765.122.692,24.0,2366045,356.66
2024-11-05,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,40.0,6722556,920.63
2024-11-06,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,26.0,4615127,737.05
2024-11-07,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,37.0,8949087,1006.25
2024-11-08,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,37.0,3600571,291.16
2024-11-09,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,42.0,4504140,270.5
2024-11-10,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,44.0,10991054,567.37
2024-11-11,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Lunes,34.307.035,-765.122.692,47.0,9168489,522.05
2024-11-12,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,50.0,8673131,453.74
2024-11-13,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,43.0,6108477,377.04
2024-11-14,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,42.0,8903336,463.79
2024-11-15,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,53.0,8097855,444.54
2024-11-16,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,70.0,8507396,462.03
2024-11-17,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,61.0,4591705,267.28
2024-11-18,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,47.0,6387828,397.4
2024-11-19,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,41.0,4777562,299.04
2024-11-20,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,43.0,7984117,418.39
2024-11-21,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,46.0,10817733,599.12
