NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
003_ZW Parque del Perro,1,1,0,0,5.51,26.0,43384.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,85.44,16.64,90.16,81.41,70.22,95.79,53.48,207.44,35.25,23.57,21.0,52.0,98.0,82.0,74.0,51.0,57.0,62.0,76.0,97.0
003_ZW Parque del Perro,2,1,0,0,13.8,58.0,268005.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.51,85.44,16.64,90.16,81.41,70.22,95.79,53.48,207.44,35.25,26.0,21.0,52.0,98.0,82.0,74.0,51.0,57.0,62.0,76.0
003_ZW Parque del Perro,3,1,0,0,72.19,64.0,1519907.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,5.51,85.44,16.64,90.16,81.41,70.22,95.79,53.48,207.44,58.0,26.0,21.0,52.0,98.0,82.0,74.0,51.0,57.0,62.0
003_ZW Parque del Perro,4,1,0,0,83.04,77.0,1845453.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.19,13.8,5.51,85.44,16.64,90.16,81.41,70.22,95.79,53.48,64.0,58.0,26.0,21.0,52.0,98.0,82.0,74.0,51.0,57.0
003_ZW Parque del Perro,5,0,1,0,70.37,88.0,1604033.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83.04,72.19,13.8,5.51,85.44,16.64,90.16,81.41,70.22,95.79,77.0,64.0,58.0,26.0,21.0,52.0,98.0,82.0,74.0,51.0
003_ZW Parque del Perro,6,0,1,0,134.12,110.0,3241317.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70.37,83.04,72.19,13.8,5.51,85.44,16.64,90.16,81.41,70.22,88.0,77.0,64.0,58.0,26.0,21.0,52.0,98.0,82.0,74.0
003_ZW Parque del Perro,0,1,0,0,78.42,65.0,1636347.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,134.12,70.37,83.04,72.19,13.8,5.51,85.44,16.64,90.16,81.41,110.0,88.0,77.0,64.0,58.0,26.0,21.0,52.0,98.0,82.0
003_ZW Parque del Perro,1,1,0,0,23.84,80.0,445023.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,78.42,134.12,70.37,83.04,72.19,13.8,5.51,85.44,16.64,90.16,65.0,110.0,88.0,77.0,64.0,58.0,26.0,21.0,52.0,98.0
003_ZW Parque del Perro,2,1,0,0,48.65,71.0,1123562.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.84,78.42,134.12,70.37,83.04,72.19,13.8,5.51,85.44,16.64,80.0,65.0,110.0,88.0,77.0,64.0,58.0,26.0,21.0,52.0
003_ZW Parque del Perro,3,1,0,0,38.55,89.0,884433.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,23.84,78.42,134.12,70.37,83.04,72.19,13.8,5.51,85.44,71.0,80.0,65.0,110.0,88.0,77.0,64.0,58.0,26.0,21.0
003_ZW Parque del Perro,4,1,0,0,63.64,89.0,1430921.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.55,48.65,23.84,78.42,134.12,70.37,83.04,72.19,13.8,5.51,89.0,71.0,80.0,65.0,110.0,88.0,77.0,64.0,58.0,26.0
